Item,Group,MainCond,Condition,ContextAudioFile,ContextImageFile,AudioFile,ImageFile
10,3,Critical,TrueControl,10_01.wav,G3_10_01.jpg,10_02.wav,G3_10_02.jpg
11,3,Critical,OnlyExist,11_01.wav,G3_11_01.jpg,11_02.wav,G3_11_02.jpg
12,3,Filler,FSomeAction,12_01.wav,G3_12_01.jpg,12_02.wav,G3_12_02.jpg
13,3,Critical,NoAction,13_01.wav,G3_13_01.jpg,13_02.wav,G3_13_02.jpg
14,3,Filler,FAllAction,14_01.wav,G3_14_01.jpg,14_02.wav,G3_14_02.jpg
15,3,Critical,FalseControl,15_01.wav,G3_15_01.jpg,15_02.wav,G3_15_02.jpg
16,3,Filler,FNoneAction,16_01.wav,G3_16_01.jpg,16_02.wav,G3_16_02.jpg
17,3,Critical,TrueControl,17_01.wav,G3_17_01.jpg,17_02.wav,G3_17_02.jpg
18,3,Critical,OnlyExist,18_01.wav,G3_18_01.jpg,18_02.wav,G3_18_02.jpg
19,3,Filler,FSomeAction,19_01.wav,G3_19_01.jpg,19_02.wav,G3_19_02.jpg
20,3,Critical,NoAction,20_01.wav,G3_20_01.jpg,20_02.wav,G3_20_02.jpg
21,3,Critical,FalseControl,21_01.wav,G3_21_01.jpg,21_02.wav,G3_21_02.jpg
22,3,Filler,FAllAction,22_01.wav,G3_22_01.jpg,22_02.wav,G3_22_02.jpg
23,3,Critical,TrueControl,23_01.wav,G3_23_01.jpg,23_02.wav,G3_23_02.jpg
24,3,Filler,FNoneAction,24_01.wav,G3_24_01.jpg,24_02.wav,G3_24_02.jpg
25,3,Critical,OnlyExist,25_01.wav,G3_25_01.jpg,25_02.wav,G3_25_02.jpg
26,3,Filler,FSomeAction,26_01.wav,G3_26_01.jpg,26_02.wav,G3_26_02.jpg
27,3,Critical,NoAction,27_01.wav,G3_27_01.jpg,27_02.wav,G3_27_02.jpg
28,3,Filler,FAllAction,28_01.wav,G3_28_01.jpg,28_02.wav,G3_28_02.jpg
A,4,Practice,Practice,A_01.wav,A_1.jpg,A_02.wav,A_2.jpg
B,4,Practice,Practice,B_01.wav,B_1.jpg,B_02.wav,B_2.jpg
C,4,Practice,Practice,C_01.wav,C_1.jpg,C_02.wav,C_2.jpg
D,4,Practice,Practice,D_01.wav,D_1.jpg,D_02.wav,D_2.jpg
1,4,Critical,NoAction,01_01.wav,G4_01_01.jpg,01_02.wav,G4_01_02.jpg
2,4,Filler,FSomeAction,02_01.wav,G4_02_01.jpg,02_02.wav,G4_02_02.jpg
3,4,Critical,FalseControl,03_01.wav,G4_03_01.jpg,03_02.wav,G4_03_02.jpg
4,4,Critical,TrueControl,04_01.wav,G4_04_01.jpg,04_02.wav,G4_04_02.jpg
5,4,Filler,FAllAction,05_01.wav,G4_05_01.jpg,05_02.wav,G4_05_02.jpg
6,4,Critical,OnlyExist,06_01.wav,G4_06_01.jpg,06_02.wav,G4_06_02.jpg
7,4,Filler,FNoneAction,07_01.wav,G4_07_01.jpg,07_02.wav,G4_07_02.jpg
8,4,Critical,NoAction,08_01.wav,G4_08_01.jpg,08_02.wav,G4_08_02.jpg
9,4,Filler,FSomeAction,09_01.wav,G4_09_01.jpg,09_02.wav,G4_09_02.jpg
